dataset_id,query_id,intervention,reference,target,effect_time,tau_gt,oracle_decision,structural_source,I_reaches_Y,R_reaches_Y,path_decision,path_state,selective_regret,cycle_detected
0,0,25,35,25,2,-0.00021435298867300556,R,gt,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
0,1,10,40,40,2,-0.12244717200410993,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,2,15,40,3,2,0.11483773830698918,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,3,20,40,16,2,-0.0017711027606862606,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,4,5,45,45,2,-0.029272100344071794,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,5,5,35,5,2,0.0743223394059992,I,gt,False,True,R,STRUCTURE_MISLEADING,0.0743223394059992,False
0,6,10,35,10,2,0.22024986913277,I,gt,False,True,R,STRUCTURE_MISLEADING,0.22024986913277,False
0,7,25,45,11,2,-0.0003834573959022314,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,8,30,40,13,2,-0.08692527441502923,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,9,25,45,12,2,-0.08788523663161896,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,0,25,45,6,2,0.002158158590883197,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,1,25,35,25,2,-1.8603900303615362e-07,R,gt,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
1,2,15,30,30,2,-0.10331404830457858,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,3,20,40,9,2,0.0011446741300483176,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,4,20,40,16,2,0.08991850745118635,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,5,15,45,12,2,-0.014287840965259868,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,6,10,35,10,2,0.17738250554933377,I,gt,False,True,R,STRUCTURE_MISLEADING,0.17738250554933377,False
1,7,5,15,15,2,-0.11059910493074165,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,8,5,35,5,2,0.17344740800923159,I,gt,False,True,R,STRUCTURE_MISLEADING,0.17344740800923159,False
