public_path,artifact_type,paper_section,purpose,canonical_status,publication_modification,privacy_checked,sha256
.gitignore,configuration,Data and Code Availability,Prevent publication of caches secrets environments and third-party archives,publication_support,Added publication-safe exclusions,yes,32a04905e3546c39680df1a892ee9693d9ee0dacd239af44197dcd0c023e3f0a
CITATION.cff,citation,Citation,Machine-readable repository citation metadata,publication_support,Title synchronized; no other citation metadata changed,yes,9319ee73eff1e4668330142096ca0edce9c5fa61d62b620767e9f35a4ea54b81
LICENSE-CODE,license,Licensing,MIT License for source code,publication_support,Added final code license,yes,37d0e99e7410ec2d6926cf8624bf446a0df31ecb4911296b55a7cacb2b7f1c3c
LICENSE-CONTENT,license,Licensing,"CC BY 4.0 license for documentation, figures, supplementary materials, and author-generated synthetic data",publication_support,Added final content license,yes,bd85aa8158947556d5b94bd293f7adb2c17697f917527562227805685dd02af0
README.md,documentation,Data and Code Availability,Permanent public repository overview and ordered reproduction workflow,publication_documentation,Title terminology and pairwise scope synchronized; scientific content unchanged,yes,725b280435de337f5f575ab13fc735df6e9c63f23459cf64fdde9595404c12fc
REPRODUCIBILITY_MAP.md,documentation,All reported results,Map each manuscript figure and table to public producers and artifacts,publication_documentation,Figure 1 terminology synchronized; classifications unchanged,yes,7340a8a525b9976c9080947256fe754a4e979ee0d35869c1cc3a705426657bfb
configs/B2A_EXTERNAL_SYNTHETIC_IMPLEMENTATION_SPEC_V1.md,protocol,Sections 3.10-3.15,Frozen external-synthetic implementation specification,canonical,Study title synchronized; scientific definitions unchanged,yes,17835e94ae9053ef5bb6cbbebf63fcc3f82f0f9b24fe620fe20cd60f342a9be7
configs/B2A_EXTERNAL_SYNTHETIC_VALIDATION_PROTOCOL_V1_1.md,protocol,Sections 3.10-3.15,Frozen external-synthetic validation protocol,canonical,Study title synchronized; scientific definitions unchanged,yes,29bf56d7853d31a99049a69859f82022d14610956025bdbe5d4eda3d7e9a0ad7
configs/DECISION_PROTOCOL_V1.md,protocol,Sections 3.1-3.9,Frozen structural decision protocol,canonical,Title terminology indicator definitions and pairwise scope synchronized; policy unchanged,yes,2a45dbd35d999a205d5f2754a63c493375518c55b6efb10151c823af6494d6d0
data/README.md,documentation,Data and Code Availability,Actionable third-party benchmark acquisition and input mapping,publication_documentation,Added stable benchmark identifiers and exact per-step input requirements,yes,838852caef3098ba209baea803e5b890ee3cfa16f6bc02a312e856f776b917f5
figures/figure_1_structure_vs_effect.png,figure,Figure 1,Deterministically generated manuscript figure,generated_from_canonical_inputs,Terminology and boundary-to-boundary structural diagram synchronized; scientific meaning unchanged,yes,ea95f3bdc093327a858c34b621e7b7e695d7ee8d837beb7b6c0dae9a9798c376
figures/figure_2_decision_states.png,figure,Figure 2,Deterministically generated manuscript figure,generated_from_canonical_inputs,Title terminology synchronized only,yes,50ff4d6119b22a22a744fb047083ab6994889f12837639da605834ebb67864db
figures/figure_3_transition_matrices.png,figure,Figure 3,Deterministically generated manuscript figure,generated_from_canonical_inputs,Regenerated with public-only metadata; visible pixels unchanged,yes,d96c1859895aea8e0ecf6648793088f40db033628ed7f98287b3c14f926a22a9
notebooks/b2a_external_synthetic_validation.ipynb,notebook,Sections 3.10-4.9,External-synthetic generation prediction ground truth and evaluation,canonical_publication_copy,Removed historical labels volatile provenance and execution metadata; calculations unchanged,yes,1ba8690b06cda0d2901ca51dd3f9ed3041be59fdaace1d532ebe375f838ce4e3
notebooks/structure_effect_decision_experiment.ipynb,notebook,Sections 3.1-4.5,Structure-versus-effect decision analysis,canonical_publication_copy,Terminology synchronized; calculations metadata outputs and execution counts unchanged,yes,eeb806c8f31b2a31d93809e8b8cb9b327e32655c8fab888302c42918ed5a1713
requirements.txt,configuration,Data and Code Availability,Pinned Python dependencies,publication_configuration,Added the direct notebook-execution dependency,yes,421f8d76db0e561a388e84211f796805d98070526728f8c0231e573ae73793e8
results/b2a_external_synthetic_baseline_comparison_v1.csv,result,Sections 3.10-4.9,External-synthetic baseline comparison,canonical,None,yes,bdae7fe961ee47e39f46cacb0fb71195c2e379caaec9ab0348eefc81e4a0bde0
results/b2a_external_synthetic_dgp_spec_v1.json,configuration,Sections 3.10-3.13,Frozen six-environment DGP specification,canonical,Removed private paths and commit metadata; numeric scientific content unchanged,yes,d1ba4a2a82ae83fd1174592fb20f6d71a3ffac8d6ef8df002c9e68640d2a97c9
results/b2a_external_synthetic_environment_summary_v1.csv,result,Sections 3.10-4.9,External-synthetic environment summary,canonical,None,yes,0931f97df94d0cd6716116a08ee0b6fb25b94f0b3b0b0228c79fb90195c5be3c
results/b2a_external_synthetic_ground_truth_v1.csv,result,Sections 3.10-4.9,External-synthetic ground truth,canonical,None,yes,735468669caf262be233de69de4afbbe46a2caaa8a922892486e5d512a3f25e5
results/b2a_external_synthetic_manifest_v1.json,manifest,Sections 3.10-3.14,Stable external-synthetic scientific-payload hashes,canonical_publication_metadata,Removed commit and timestamp; replaced raw provenance hashes with stable scientific-payload hashes,yes,d8ee35ddab0d71ee8ff2f9dcc9b93dbda4b882e64b04709d2569c9e23bb2fc85
results/b2a_external_synthetic_predictions_v1.csv,result,Sections 3.10-4.9,External-synthetic predictions,canonical,None,yes,3bf964bb7e90268a4f5e603d0b16a71be017ac8a2daa20f6d347614981d4e6b3
results/b2a_external_synthetic_queries_v1.csv,result,Sections 3.10-4.9,External-synthetic queries,canonical,None,yes,d0c022193284c495751b7168d62db8206a397f02537e54ca2e165a0248b83d6b
results/b2a_external_synthetic_summary_v1.csv,result,Sections 3.10-4.9,External-synthetic summary,canonical,None,yes,74dce3b91239e683534518d2c170dec5969f49f9f5039e8d40f0cffe99cd7fd5
